parse_ms,finger_ms,pred_ms,dpm_total_ms,finger_bytes,sig_ms,hash_ms,path,category,size_bytes
1.105,2.3114,4.1786,7.4602,683,0.0057,0.0058,corpus/benign_moddate/admin_record/admin_record_001.pdf,benign_moddate,2327
1.5022,2.8683,4.9863,9.3667,683,0.0051,0.0049,corpus/benign_moddate/admin_record/admin_record_002.pdf,benign_moddate,2328
1.4398,3.0562,4.6474,9.7252,683,0.0048,0.0059,corpus/benign_moddate/admin_record/admin_record_003.pdf,benign_moddate,2328
1.4064,5.1911,6.2453,14.6471,683,0.0065,0.0055,corpus/benign_moddate/admin_record/admin_record_004.pdf,benign_moddate,2328
1.692,3.2173,6.175,11.6711,683,0.0172,0.0085,corpus/benign_moddate/admin_record/admin_record_005.pdf,benign_moddate,2328
1.7232,4.1794,5.5533,11.554,683,0.0064,0.0063,corpus/benign_moddate/admin_record/admin_record_006.pdf,benign_moddate,2328
1.4674,3.3653,4.7346,9.5026,544,0.0058,0.0058,corpus/benign_moddate/certificate/certificate_001.pdf,benign_moddate,2441
1.6539,3.6061,5.748,10.913,544,0.006,0.0069,corpus/benign_moddate/certificate/certificate_002.pdf,benign_moddate,2439
2.3321,5.2732,8.9763,16.1844,544,0.0109,0.0093,corpus/benign_moddate/certificate/certificate_003.pdf,benign_moddate,2441
1.4886,3.4122,5.1021,9.9706,544,0.0051,0.0057,corpus/benign_moddate/certificate/certificate_004.pdf,benign_moddate,2441
1.4524,2.8438,4.3656,8.8578,544,0.0039,0.0055,corpus/benign_moddate/certificate/certificate_005.pdf,benign_moddate,2441
1.5005,3.1578,5.1898,10.2589,544,0.0048,0.0057,corpus/benign_moddate/certificate/certificate_006.pdf,benign_moddate,2441
1.2226,2.8016,4.9225,8.9886,502,0.0042,0.0049,corpus/benign_moddate/invoice/invoice_001.pdf,benign_moddate,2247
1.5347,3.3149,4.9667,11.2307,502,0.0047,0.0061,corpus/benign_moddate/invoice/invoice_002.pdf,benign_moddate,2251
1.2476,3.197,4.784,9.2286,504,0.0041,0.0055,corpus/benign_moddate/invoice/invoice_003.pdf,benign_moddate,2251
1.1515,2.9523,4.6387,9.884,498,0.0037,0.0047,corpus/benign_moddate/invoice/invoice_004.pdf,benign_moddate,2248
1.1338,2.6556,3.9035,7.7092,502,0.0034,0.0046,corpus/benign_moddate/invoice/invoice_005.pdf,benign_moddate,2250
1.1603,2.6039,3.9028,7.8299,500,0.0037,0.0046,corpus/benign_moddate/invoice/invoice_006.pdf,benign_moddate,2245
0.9673,2.4286,3.4332,6.8469,683,0.0027,0.0042,corpus/baseline/admin_record/admin_record_001.pdf,baseline,1969
0.9667,2.3551,3.5277,6.8143,683,0.0028,0.0041,corpus/baseline/admin_record/admin_record_002.pdf,baseline,1970
0.9528,2.4795,3.7182,7.2122,683,0.003,0.0043,corpus/baseline/admin_record/admin_record_003.pdf,baseline,1970
0.9687,2.4392,3.8545,8.0666,683,0.0034,0.0044,corpus/baseline/admin_record/admin_record_004.pdf,baseline,1970
1.3865,2.6764,3.9754,8.7943,683,0.0027,0.0038,corpus/baseline/admin_record/admin_record_005.pdf,baseline,1970
0.9047,2.2982,3.6226,6.9512,683,0.0031,0.0039,corpus/baseline/admin_record/admin_record_006.pdf,baseline,1970
1.2185,3.5703,4.3803,9.4303,544,0.0027,0.0046,corpus/baseline/certificate/certificate_001.pdf,baseline,2080
0.9671,2.1425,3.2297,6.3604,544,0.0026,0.0042,corpus/baseline/certificate/certificate_002.pdf,baseline,2078
1.0571,2.225,3.4812,6.9175,544,0.0034,0.0043,corpus/baseline/certificate/certificate_003.pdf,baseline,2080
0.9906,2.3137,3.798,7.1023,544,0.0028,0.0044,corpus/baseline/certificate/certificate_004.pdf,baseline,2080
1.0361,2.6946,4.1698,8.1326,544,0.003,0.0043,corpus/baseline/certificate/certificate_005.pdf,baseline,2080
1.5898,3.5699,5.3784,11.336,544,0.0035,0.0052,corpus/baseline/certificate/certificate_006.pdf,baseline,2080
1.3118,3.4697,6.1267,11.1762,502,0.0032,0.0048,corpus/baseline/invoice/invoice_001.pdf,baseline,1909
1.0013,3.4783,4.8052,9.3905,502,0.0034,0.0045,corpus/baseline/invoice/invoice_002.pdf,baseline,1913
1.2023,3.2459,4.6546,9.8804,504,0.0029,0.0041,corpus/baseline/invoice/invoice_003.pdf,baseline,1913
1.2389,3.0509,4.4667,8.6954,498,0.003,0.0041,corpus/baseline/invoice/invoice_004.pdf,baseline,1910
0.9748,2.7164,4.3115,7.8784,502,0.0032,0.0052,corpus/baseline/invoice/invoice_005.pdf,baseline,1912
1.977,2.9836,5.0854,11.1527,500,0.0031,0.0045,corpus/baseline/invoice/invoice_006.pdf,baseline,1907
1.033,1.271,2.5357,5.3313,329,0.0025,0.0209,corpus/attack_A3_scapy/admin_record/admin_record_001.pdf,attack_A3_scapy,1969
1.1116,1.3769,2.1598,4.8583,329,0.0022,0.0211,corpus/attack_A3_scapy/admin_record/admin_record_002.pdf,attack_A3_scapy,1970
1.2641,1.1872,3.1022,5.8449,329,0.0025,0.0216,corpus/attack_A3_scapy/admin_record/admin_record_003.pdf,attack_A3_scapy,1970
0.8992,1.4618,2.7635,5.8444,329,0.0021,0.0214,corpus/attack_A3_scapy/admin_record/admin_record_004.pdf,attack_A3_scapy,1970
0.9993,1.2284,2.7093,4.8789,329,0.0025,0.0183,corpus/attack_A3_scapy/admin_record/admin_record_005.pdf,attack_A3_scapy,1970
0.9229,1.4143,2.8993,6.196,329,0.0024,0.0203,corpus/attack_A3_scapy/admin_record/admin_record_006.pdf,attack_A3_scapy,1970
1.0504,1.6321,2.3067,4.7212,329,0.002,0.0186,corpus/attack_A3_scapy/certificate/certificate_001.pdf,attack_A3_scapy,2080
0.941,1.1883,2.493,4.9188,329,0.0023,0.0221,corpus/attack_A3_scapy/certificate/certificate_002.pdf,attack_A3_scapy,2078
1.0702,1.2812,2.7609,6.1567,329,0.0026,0.0203,corpus/attack_A3_scapy/certificate/certificate_003.pdf,attack_A3_scapy,2080
1.3087,1.2226,2.6536,5.3145,329,0.0021,0.019,corpus/attack_A3_scapy/certificate/certificate_004.pdf,attack_A3_scapy,2080
1.1612,1.4761,3.1603,6.016,329,0.0021,0.0191,corpus/attack_A3_scapy/certificate/certificate_005.pdf,attack_A3_scapy,2080
1.1167,1.2902,2.3407,4.7714,329,0.0025,0.02,corpus/attack_A3_scapy/certificate/certificate_006.pdf,attack_A3_scapy,2080
0.9835,1.1427,2.4423,4.5401,309,0.0036,0.0246,corpus/attack_A3_scapy/invoice/invoice_001.pdf,attack_A3_scapy,1909
