metric,value,unit
parse_ms_mean,3.562,ms
parse_ms_median,3.954,ms
parse_ms_p95,6.157,ms
parse_ms_p99,8.633,ms
finger_ms_mean,6.434,ms
finger_ms_median,6.458,ms
finger_ms_p95,12.615,ms
finger_ms_p99,14.373,ms
pred_ms_mean,9.946,ms
pred_ms_median,11.283,ms
pred_ms_p95,17.339,ms
pred_ms_p99,20.039,ms
dpm_total_ms_mean,20.26,ms
dpm_total_ms_median,22.201,ms
dpm_total_ms_p95,37.267,ms
dpm_total_ms_p99,40.928,ms
sig_ms_mean,0.006,ms
sig_ms_median,0.006,ms
sig_ms_p95,0.011,ms
sig_ms_p99,0.013,ms
hash_ms_mean,0.032,ms
hash_ms_median,0.037,ms
hash_ms_p95,0.053,ms
hash_ms_p99,0.069,ms
finger_bytes_mean,514.667,bytes
finger_bytes_median,502.0,bytes
finger_bytes_p95,685,bytes
finger_bytes_p99,711,bytes
throughput_dpm_fps,45.0,files/s
throughput_hash_fps,26666.7,files/s
throughput_sig_fps,155038.8,files/s
ledger_commit_median_ms,2.0488,ms(measured)
ledger_record_bytes,1343,bytes(measured)
ledger_chain_verified,True,bool(measured)
consensus_latency_parallel_ms,24.25,ms(estimate)
consensus_latency_sequential_ms,42.69,ms(estimate)
