defense,category,is_attack,n,accepted,rejected,metric,value
sig,baseline,False,18,18,0,false_reject_rate,0.0
sig,benign_moddate,False,18,18,0,false_reject_rate,0.0
sig,attack_A1_replacement,True,18,0,18,detection_rate,1.0
sig,attack_A2_metadata/a_metadata_info,True,18,18,0,detection_rate,0.0
sig,attack_A2_metadata/b_viewer_prefs,True,18,18,0,detection_rate,0.0
sig,attack_A2_metadata/c_annotation_overlay,True,18,0,18,detection_rate,1.0
sig,attack_A2_metadata/d_ocg_toggle,True,18,0,18,detection_rate,1.0
sig,attack_A2_metadata/e_hide_and_replace,True,18,18,0,detection_rate,0.0
sig,attack_A3_scapy,True,18,0,18,detection_rate,1.0
hash,baseline,False,18,18,0,false_reject_rate,0.0
hash,benign_moddate,False,18,0,18,false_reject_rate,1.0
hash,attack_A1_replacement,True,18,0,18,detection_rate,1.0
hash,attack_A2_metadata/a_metadata_info,True,18,0,18,detection_rate,1.0
hash,attack_A2_metadata/b_viewer_prefs,True,18,0,18,detection_rate,1.0
hash,attack_A2_metadata/c_annotation_overlay,True,18,0,18,detection_rate,1.0
hash,attack_A2_metadata/d_ocg_toggle,True,18,0,18,detection_rate,1.0
hash,attack_A2_metadata/e_hide_and_replace,True,18,0,18,detection_rate,1.0
hash,attack_A3_scapy,True,18,0,18,detection_rate,1.0
dpm,baseline,False,18,18,0,false_reject_rate,0.0
dpm,benign_moddate,False,18,18,0,false_reject_rate,0.0
dpm,attack_A1_replacement,True,18,0,18,detection_rate,1.0
dpm,attack_A2_metadata/a_metadata_info,True,18,0,18,detection_rate,1.0
dpm,attack_A2_metadata/b_viewer_prefs,True,18,0,18,detection_rate,1.0
dpm,attack_A2_metadata/c_annotation_overlay,True,18,0,18,detection_rate,1.0
dpm,attack_A2_metadata/d_ocg_toggle,True,18,0,18,detection_rate,1.0
dpm,attack_A2_metadata/e_hide_and_replace,True,18,0,18,detection_rate,1.0
dpm,attack_A3_scapy,True,18,0,18,detection_rate,1.0
